iter	Passed	Remaining
985	1890229	1943907
986	1892224	1942070
987	1894195	1940207
988	1896101	1938279
989	1897934	1936276
990	1899916	1934425
991	1901862	1932537
992	1903718	1930558
993	1905493	1928497
994	1907286	1926455
995	1909099	1924433
996	1910837	1922337
997	1912662	1920328
998	1914450	1918283
999	1916273	1916273
1000	1918009	1914177
1001	1919862	1912198
1002	1921669	1910174
1003	1923853	1908524
1004	1926020	1906855
1005	1927861	1904864
1006	1929688	1902860
1007	1931641	1900980
1008	1933491	1898998
1009	1935307	1896984
1010	1937264	1895107
1011	1939153	1893165
1012	1941083	1891262
1013	1943082	1889427
1014	1945484	1887982
1015	1947990	1886636
1016	1950675	1885460
1017	1953257	1884183
1018	1956276	1883324
1019	1958937	1882116
1020	1961465	1880778
1021	1964117	1879556
1022	1965993	1877590
1023	1968069	1875816
1024	1969978	1873881
1025	1971862	1871924
1026	1973793	1870010
1027	1975844	1868211
1028	1977972	1866483
1029	1980131	1864783
1030	1982465	1863248
1031	1984590	1861514
1032	1986957	1860007
1033	1989669	1858820
1034	1992399	1857648
1035	1994876	1856236
1036	1997557	1855012
1037	1999716	1853301
1038	2002259	1851945
1039	2005035	1850802
1040	2007397	1849274
1041	2009788	1847771
1042	2011923	1846031
1043	2014079	1844310
1044	2016072	1842439
1045	2018181	1840673
1046	2020161	1838790
1047	2022015	1836792
1048	2023848	1834776
1049	2025666	1832745
1050	2027727	1830935
1051	2029649	1828999
1052	2031759	1827232
1053	2033717	1825328
1054	2035843	1823575
1055	2037814	1821683
1056	2039959	1819945
1057	2041819	1817952
1058	2043807	1816074
1059	2045786	1814188
1060	2047667	1812214
1061	2049638	1810320
1062	2051671	1808482
1063	2053534	1806492
1064	2055447	1804547
1065	2057309	1802558
1066	2059172	1800569
1067	2061109	1798645
1068	2062901	1796596
1069	2064772	1794615
1070	2066938	1792890
1071	2068996	1791071
1072	2070973	1789182
1073	2072986	1787323
1074	2074890	1785370
1075	2076889	1783500
1076	2078849	1781595
1077	2080798	1779681
1078	2082719	1777742
1079	2084577	1775751
1080	2086638	1773932
1081	2088493	1771937
1082	2090405	1769992
1083	2092403	1768119
1084	2094323	1766180
1085	2096374	1764352
1086	2098287	1762406
1087	2100266	1760517
1088	2102249	1758630
1089	2104203	1756720
1090	2106219	1754860
1091	2108110	1752897
1092	2109995	1750929
1093	2111864	1748948
1094	2113779	1747005
1095	2115725	1745087
1096	2117672	1743171
1097	2119566	1741210
1098	2121443	1739236
1099	2123374	1737306
1100	2125382	1735439
1101	2127351	1733540
1102	2129286	1731613
1103	2131266	1729723
1104	2133348	1727915
1105	2135426	1726103
